idEmprego,nmEmprego,nivelExp,idEmpresa,idLoc
178,Research Scientist,MI,234,5
179,NLP Engineer,SE,44,14
180,AI Consultant,MI,73,9
181,Principal Data Scientist,MI,103,16
182,NLP Engineer,EX,56,13
183,Machine Learning Researcher,SE,28,10
184,AI Product Manager,EN,95,2
185,AI Research Scientist,EX,105,18
186,Deep Learning Engineer,EX,153,5
187,AI Product Manager,MI,50,3
188,AI Specialist,EN,75,20
189,Machine Learning Researcher,EX,156,14
190,NLP Engineer,MI,39,16
191,Data Engineer,EX,17,2
192,Head of AI,EX,187,5
193,ML Ops Engineer,EX,183,10
194,AI Specialist,EN,151,1
195,AI Architect,EX,148,13
196,AI Software Engineer,EX,6,7
197,Principal Data Scientist,EN,140,4
198,AI Product Manager,SE,169,16
199,AI Software Engineer,EN,223,2
200,AI Product Manager,SE,149,20
201,Robotics Engineer,EN,66,13
202,AI Specialist,SE,213,17
203,Autonomous Systems Engineer,SE,196,19
204,AI Specialist,MI,188,10
205,AI Consultant,MI,90,2
206,Machine Learning Engineer,SE,222,19
207,Data Scientist,MI,127,19
208,Machine Learning Researcher,EN,103,12
209,Data Engineer,SE,209,15
210,Data Analyst,EN,92,7
211,Research Scientist,MI,105,19
212,AI Research Scientist,SE,231,6
213,Deep Learning Engineer,EN,36,12
214,ML Ops Engineer,MI,8,2
215,AI Specialist,MI,159,4
216,AI Software Engineer,EX,85,14
217,Robotics Engineer,EN,97,4
218,NLP Engineer,EN,137,1
219,Principal Data Scientist,MI,134,6
220,Computer Vision Engineer,EN,56,13
221,Autonomous Systems Engineer,SE,125,11
222,NLP Engineer,EX,215,13
223,AI Architect,MI,155,19
224,Research Scientist,MI,208,4
225,Data Scientist,MI,181,8
226,ML Ops Engineer,SE,87,3
227,AI Product Manager,SE,126,20
228,Research Scientist,EX,120,19
229,Data Analyst,MI,222,16
230,Robotics Engineer,EN,139,9
231,Research Scientist,MI,141,7
232,AI Research Scientist,EN,10,4
233,Head of AI,MI,234,10
234,AI Research Scientist,SE,172,20
235,ML Ops Engineer,EN,120,16
236,Data Scientist,EN,135,2
237,Autonomous Systems Engineer,SE,65,10
238,Data Analyst,EN,39,3
239,Machine Learning Engineer,EX,213,8
240,Deep Learning Engineer,EN,21,7
241,Research Scientist,MI,87,20
242,NLP Engineer,EX,145,6
243,Robotics Engineer,EX,11,3
244,AI Specialist,SE,8,15
245,Research Scientist,EN,92,12
246,AI Product Manager,MI,129,12
247,AI Specialist,SE,14,2
248,Research Scientist,EX,104,20
249,Data Analyst,SE,126,13
250,AI Research Scientist,SE,88,20
251,Data Engineer,MI,110,17
252,AI Product Manager,EN,125,10
253,Deep Learning Engineer,SE,177,11
254,Computer Vision Engineer,EX,215,6
255,Research Scientist,SE,224,4
256,Principal Data Scientist,MI,27,7
257,AI Product Manager,MI,58,8
258,Head of AI,EN,96,2
259,Machine Learning Researcher,EN,183,7
260,Robotics Engineer,EX,22,2
261,Research Scientist,SE,188,18
262,Principal Data Scientist,EN,225,20
263,AI Software Engineer,EN,201,19
264,Data Engineer,EX,144,16
265,Data Analyst,SE,128,9
266,AI Consultant,MI,72,20
267,Data Analyst,SE,187,19
268,Robotics Engineer,SE,85,20
269,Data Analyst,EN,82,19
270,ML Ops Engineer,EN,45,20
271,Deep Learning Engineer,EN,15,1
272,Autonomous Systems Engineer,MI,202,12
273,Computer Vision Engineer,SE,148,10
274,Machine Learning Engineer,EX,181,17
275,Machine Learning Researcher,SE,63,19
276,Principal Data Scientist,SE,122,9
277,Head of AI,MI,184,19
278,NLP Engineer,SE,72,20
279,Machine Learning Engineer,SE,142,2
280,Machine Learning Engineer,SE,216,19
281,ML Ops Engineer,MI,200,4
282,Machine Learning Researcher,EN,166,18
283,NLP Engineer,EX,240,7
284,Deep Learning Engineer,MI,226,2
285,Data Engineer,EX,149,7
286,NLP Engineer,EX,109,9
287,Computer Vision Engineer,EX,82,11
288,AI Software Engineer,EX,82,18
289,Data Engineer,EX,9,10
290,Computer Vision Engineer,EN,212,8
291,AI Consultant,SE,136,10
292,NLP Engineer,EX,171,12
293,Autonomous Systems Engineer,EN,187,3
294,AI Consultant,EX,192,13
295,Data Analyst,EN,21,6
296,Data Scientist,EN,147,11
297,AI Research Scientist,EX,110,6
298,AI Specialist,SE,230,10
299,Principal Data Scientist,EX,199,1
300,Deep Learning Engineer,MI,13,4
301,Machine Learning Engineer,EX,191,12
302,Computer Vision Engineer,EX,183,4
303,Data Engineer,EN,94,4
304,AI Software Engineer,MI,195,17
305,Research Scientist,EN,143,1
306,Data Analyst,EN,212,1
307,AI Architect,SE,173,5
308,Autonomous Systems Engineer,SE,26,6
309,Machine Learning Researcher,MI,129,7
310,AI Product Manager,MI,37,6
311,Machine Learning Researcher,MI,118,4
312,Machine Learning Researcher,EX,87,14
313,Robotics Engineer,SE,62,6
314,AI Software Engineer,EX,237,3
315,Head of AI,MI,146,10
316,Autonomous Systems Engineer,MI,221,3
317,Data Analyst,SE,228,17
318,Data Scientist,EX,120,18
319,AI Consultant,EN,73,4
320,Data Engineer,MI,178,7
321,Robotics Engineer,EN,232,12
322,Data Scientist,SE,92,3
323,Data Engineer,EN,81,7
324,AI Research Scientist,EN,81,10
325,Robotics Engineer,EN,233,17
326,AI Consultant,MI,231,15
327,AI Architect,EX,66,20
328,AI Research Scientist,EN,182,1
329,Machine Learning Engineer,SE,92,9
330,NLP Engineer,EN,128,3
331,Principal Data Scientist,MI,52,19
332,NLP Engineer,MI,13,3
333,NLP Engineer,EN,43,11
334,Research Scientist,EN,148,6
335,Principal Data Scientist,EX,47,8
336,Data Scientist,MI,127,17
337,Data Scientist,SE,186,13
338,AI Consultant,MI,19,15
339,Autonomous Systems Engineer,EN,131,12
340,Data Scientist,EX,213,12
341,AI Research Scientist,EX,139,14
342,Machine Learning Researcher,EN,77,15
343,Research Scientist,MI,105,5
344,NLP Engineer,EN,86,11
345,Robotics Engineer,MI,38,14
346,AI Specialist,EX,168,6
347,Autonomous Systems Engineer,EN,123,18
348,ML Ops Engineer,SE,219,1
349,Data Scientist,EN,84,8
350,AI Consultant,SE,73,12
351,Data Scientist,SE,164,16
352,Deep Learning Engineer,SE,88,4
353,AI Software Engineer,MI,171,8
354,Head of AI,SE,218,10
355,NLP Engineer,MI,164,2
356,AI Architect,EX,129,10
357,Data Analyst,SE,132,16
358,Machine Learning Engineer,EX,96,18
359,AI Specialist,MI,94,5
360,Autonomous Systems Engineer,EN,135,1
361,AI Product Manager,EX,109,2
362,Principal Data Scientist,EN,9,7
363,Computer Vision Engineer,EN,221,8
364,AI Consultant,MI,234,14
365,Data Analyst,EX,190,19
366,AI Specialist,EX,49,3
367,AI Software Engineer,EN,131,2
368,AI Architect,EN,107,14
369,Machine Learning Researcher,EN,237,14
370,AI Research Scientist,EN,54,2
371,Machine Learning Engineer,MI,68,11
372,Data Engineer,EX,126,1
373,Head of AI,SE,134,15
374,Machine Learning Engineer,SE,70,11
375,AI Consultant,EX,136,2
376,AI Architect,EN,163,5
377,Data Scientist,SE,165,6
378,Robotics Engineer,MI,138,11
379,Machine Learning Engineer,SE,197,7
380,Computer Vision Engineer,EN,111,13
381,AI Product Manager,EN,56,7
382,NLP Engineer,EN,38,15
383,AI Software Engineer,EN,209,18
384,AI Product Manager,EN,96,15
385,ML Ops Engineer,EN,183,11
386,Head of AI,EX,82,6
387,ML Ops Engineer,MI,215,8
388,Head of AI,SE,41,18
389,AI Architect,EX,215,4
390,ML Ops Engineer,EN,103,1
391,AI Consultant,SE,44,16
392,AI Product Manager,MI,230,14
393,Research Scientist,EN,47,12
394,Data Scientist,EN,233,5
395,Principal Data Scientist,SE,23,14
396,Research Scientist,MI,83,10
397,Data Engineer,EX,31,13
398,AI Software Engineer,MI,188,15
399,Research Scientist,EN,3,14
400,Head of AI,SE,25,14
401,Autonomous Systems Engineer,EX,168,13
402,Research Scientist,EX,139,14
403,Robotics Engineer,EX,95,8
404,AI Consultant,EN,231,16
405,AI Product Manager,EX,19,19
406,Principal Data Scientist,MI,163,8
407,Computer Vision Engineer,SE,61,16
408,Principal Data Scientist,EN,171,12
409,Computer Vision Engineer,MI,192,11
410,Data Engineer,MI,204,9
411,Head of AI,SE,184,1
412,Machine Learning Researcher,EX,169,12
413,Autonomous Systems Engineer,EX,144,3
414,AI Software Engineer,EN,55,7
415,Robotics Engineer,EN,41,9
416,Head of AI,SE,64,5
417,Data Analyst,EX,70,5
418,Research Scientist,SE,182,14
419,AI Research Scientist,MI,74,8
420,Machine Learning Engineer,EN,65,19
421,NLP Engineer,EX,139,8
422,Autonomous Systems Engineer,EN,44,18
423,AI Software Engineer,MI,47,5
424,Robotics Engineer,MI,166,5
425,ML Ops Engineer,EN,14,8
426,Autonomous Systems Engineer,MI,85,20
427,AI Research Scientist,EX,114,18
428,AI Architect,EX,147,2
429,AI Specialist,SE,126,15
430,Head of AI,SE,49,1
431,ML Ops Engineer,EX,94,3
432,Data Scientist,EN,211,7
433,AI Consultant,MI,137,6
434,NLP Engineer,EX,15,4
435,Computer Vision Engineer,EX,99,12
436,AI Software Engineer,MI,1,20
437,Machine Learning Engineer,SE,119,11
438,Autonomous Systems Engineer,EX,51,4
439,Robotics Engineer,MI,89,18
440,AI Software Engineer,EN,53,20
441,AI Research Scientist,SE,187,12
442,AI Software Engineer,EX,69,3
443,Deep Learning Engineer,SE,44,12
444,AI Architect,MI,47,2
445,Data Engineer,SE,3,15
446,Data Scientist,SE,219,5
447,Principal Data Scientist,MI,82,10
448,AI Consultant,SE,77,12
449,AI Architect,SE,131,15
450,Data Analyst,EX,99,15
451,AI Specialist,MI,60,10
452,Research Scientist,EX,176,15
453,Data Engineer,EX,27,14
454,NLP Engineer,MI,4,9
455,Research Scientist,EX,59,13
456,Research Scientist,SE,74,5
457,Computer Vision Engineer,SE,187,3
458,NLP Engineer,SE,185,7
459,Data Analyst,MI,116,12
460,ML Ops Engineer,SE,182,8
461,Head of AI,MI,218,15
462,Research Scientist,EX,39,2
463,Machine Learning Researcher,MI,139,15
464,Data Engineer,MI,165,16
465,ML Ops Engineer,EN,237,5
466,Data Scientist,SE,206,16
467,AI Research Scientist,MI,108,14
468,AI Consultant,EN,55,9
469,Machine Learning Researcher,EN,99,5
470,Machine Learning Engineer,EN,106,16
471,Computer Vision Engineer,SE,16,17
472,Data Scientist,EX,128,4
473,Deep Learning Engineer,MI,184,14
474,Machine Learning Researcher,MI,36,15
475,Data Scientist,EX,119,8
476,Autonomous Systems Engineer,SE,138,20
477,AI Consultant,SE,35,17
478,Autonomous Systems Engineer,MI,185,10
479,AI Architect,MI,126,5
480,Data Scientist,MI,33,19
481,AI Product Manager,SE,148,6
482,Robotics Engineer,SE,142,3
483,AI Product Manager,EX,117,20
484,Data Scientist,EX,172,12
485,Data Scientist,EN,84,12
486,AI Software Engineer,MI,203,19
487,AI Specialist,SE,224,4
488,Computer Vision Engineer,SE,46,8
489,NLP Engineer,EN,38,4
490,Deep Learning Engineer,EX,49,11
491,Principal Data Scientist,MI,28,19
492,AI Product Manager,MI,35,6
493,Principal Data Scientist,SE,127,1
494,Data Analyst,SE,126,7
495,Machine Learning Engineer,EN,165,14
496,AI Specialist,EN,102,13
497,AI Software Engineer,SE,20,1
498,Data Analyst,EX,68,5
499,Deep Learning Engineer,SE,173,17
500,Machine Learning Engineer,EN,220,17
501,Data Scientist,SE,139,5
502,Research Scientist,EX,183,4
503,Autonomous Systems Engineer,MI,228,15
504,Head of AI,SE,223,3
505,ML Ops Engineer,MI,110,12
506,Data Scientist,EN,80,8
507,Computer Vision Engineer,SE,210,11
508,AI Architect,EN,17,7
509,NLP Engineer,EX,160,12
510,AI Software Engineer,SE,167,5
511,AI Specialist,EX,25,16
512,Robotics Engineer,EN,150,5
513,Data Analyst,SE,34,11
514,Data Engineer,SE,153,4
515,Machine Learning Engineer,EX,46,5
516,AI Product Manager,MI,145,7
517,NLP Engineer,EN,99,13
518,AI Architect,MI,238,12
519,AI Research Scientist,SE,195,10
520,Research Scientist,SE,113,5
521,Data Scientist,MI,168,2
522,Head of AI,MI,152,12
523,Data Engineer,MI,125,16
524,AI Product Manager,EX,167,1
525,Deep Learning Engineer,SE,26,14
526,AI Specialist,SE,6,19
527,Computer Vision Engineer,EX,164,8
528,Data Scientist,SE,234,13
529,Machine Learning Engineer,EX,52,16
530,Principal Data Scientist,SE,44,1
531,AI Software Engineer,EN,16,19
532,AI Software Engineer,MI,125,20
533,Principal Data Scientist,SE,49,15
534,Machine Learning Engineer,EX,119,10
535,Research Scientist,EX,97,5
536,Data Scientist,EN,152,20
537,AI Specialist,EN,71,18
538,Computer Vision Engineer,EX,237,3
539,Data Scientist,SE,32,18
540,Data Engineer,SE,14,6
541,AI Product Manager,EX,159,12
542,AI Software Engineer,EX,193,17
543,AI Consultant,EN,195,10
544,Research Scientist,EN,220,4
545,Robotics Engineer,SE,148,9
546,Machine Learning Engineer,EN,83,9
547,Machine Learning Engineer,SE,138,1
548,Head of AI,EN,121,6
549,AI Software Engineer,EX,85,9
550,Machine Learning Engineer,EN,9,10
551,Deep Learning Engineer,MI,120,6
552,Data Scientist,MI,231,17
553,AI Consultant,SE,116,17
554,Robotics Engineer,EX,184,3
555,Computer Vision Engineer,EX,55,5
556,Head of AI,MI,193,15
557,Robotics Engineer,SE,54,15
558,ML Ops Engineer,SE,194,3
559,AI Software Engineer,EN,151,8
560,Data Engineer,EX,151,14
561,AI Specialist,EX,42,4
562,AI Architect,EX,51,14
563,Research Scientist,MI,207,9
564,AI Research Scientist,EN,102,3
565,Computer Vision Engineer,EN,144,3
566,Data Engineer,EX,127,4
567,Machine Learning Engineer,EX,220,5
568,AI Software Engineer,EX,74,6
569,Data Scientist,MI,110,8
570,Autonomous Systems Engineer,SE,42,3
571,Head of AI,SE,119,14
572,AI Architect,EX,66,14
573,AI Architect,MI,23,17
574,Head of AI,SE,107,4
575,Head of AI,SE,219,15
576,AI Consultant,EN,222,17
577,AI Product Manager,EN,58,11
578,Computer Vision Engineer,SE,178,20
579,Head of AI,EX,66,6
580,AI Consultant,EN,16,19
581,Head of AI,EX,181,12
582,Machine Learning Researcher,EX,147,8
583,AI Software Engineer,EN,201,11
584,Machine Learning Engineer,SE,63,20
585,Data Analyst,EN,113,17
586,Autonomous Systems Engineer,MI,38,19
587,Research Scientist,EN,214,12
588,AI Software Engineer,MI,159,13
589,AI Consultant,EX,158,8
590,Data Scientist,EX,81,8
591,AI Product Manager,EN,11,20
592,Head of AI,EX,49,8
593,Autonomous Systems Engineer,EX,113,10
594,Data Scientist,EN,170,10
595,Machine Learning Researcher,EX,168,18
596,AI Product Manager,SE,156,19
597,Data Analyst,MI,74,15
598,AI Specialist,EN,36,19
599,Computer Vision Engineer,EX,210,10
600,Computer Vision Engineer,EX,216,19
601,AI Architect,MI,121,9
602,Data Analyst,EX,123,8
603,AI Consultant,MI,77,17
604,Research Scientist,EN,159,5
605,AI Architect,SE,140,20
606,AI Software Engineer,EX,178,14
607,Research Scientist,MI,194,6
608,ML Ops Engineer,EN,202,14
609,AI Software Engineer,EN,90,10
610,NLP Engineer,SE,223,11
611,AI Architect,MI,32,14
612,Machine Learning Engineer,MI,71,13
613,AI Software Engineer,EX,112,5
614,Data Scientist,EN,77,20
615,ML Ops Engineer,EN,195,6
616,AI Architect,SE,29,9
617,AI Specialist,SE,190,10
618,Machine Learning Researcher,MI,190,20
619,Robotics Engineer,EX,163,9
620,AI Consultant,EX,177,5
621,Principal Data Scientist,MI,132,6
622,AI Specialist,SE,186,13
623,Head of AI,SE,134,11
624,AI Architect,EN,8,17
625,NLP Engineer,SE,142,8
626,Autonomous Systems Engineer,MI,225,4
627,Principal Data Scientist,SE,167,11
628,Data Scientist,MI,180,20
629,Robotics Engineer,SE,3,18
630,Principal Data Scientist,EX,230,5
631,AI Product Manager,EX,152,11
632,Computer Vision Engineer,EN,90,1
633,ML Ops Engineer,EX,137,3
634,Machine Learning Researcher,SE,77,11
635,Data Analyst,SE,79,14
636,Deep Learning Engineer,MI,42,15
637,Data Analyst,EN,36,14
638,AI Consultant,SE,214,4
639,Principal Data Scientist,MI,238,1
640,ML Ops Engineer,SE,67,13
641,Machine Learning Engineer,SE,188,12
642,Data Analyst,MI,150,11
643,Principal Data Scientist,EX,42,18
644,Machine Learning Researcher,MI,44,4
645,Autonomous Systems Engineer,MI,53,9
646,Research Scientist,EX,173,3
647,AI Architect,MI,37,16
648,Data Scientist,SE,51,17
649,Computer Vision Engineer,SE,222,3
650,Autonomous Systems Engineer,SE,73,16
651,Autonomous Systems Engineer,EX,98,6
652,Autonomous Systems Engineer,SE,81,12
653,AI Architect,EX,51,3
654,AI Consultant,SE,205,1
655,AI Software Engineer,MI,11,5
656,Data Scientist,EX,147,17
657,Data Engineer,SE,212,18
658,Machine Learning Engineer,SE,224,14
659,Data Engineer,SE,12,10
660,NLP Engineer,EX,62,5
661,Robotics Engineer,SE,158,4
662,AI Specialist,MI,238,20
663,Data Engineer,EN,211,18
664,Head of AI,EX,137,16
665,Autonomous Systems Engineer,EX,43,11
666,Computer Vision Engineer,MI,32,13
667,AI Product Manager,EN,79,4
668,Research Scientist,SE,214,2
669,ML Ops Engineer,EN,150,4
670,AI Software Engineer,EN,27,9
671,Robotics Engineer,EX,86,11
672,AI Software Engineer,SE,238,2
673,NLP Engineer,EX,69,5
674,Data Engineer,EX,95,12
675,Machine Learning Engineer,EX,222,20
676,Research Scientist,MI,56,13
677,Research Scientist,SE,13,8
678,Data Analyst,EN,28,1
679,AI Product Manager,EN,205,10
680,AI Software Engineer,SE,153,16
681,Robotics Engineer,SE,185,9
682,Computer Vision Engineer,MI,194,3
683,AI Product Manager,EX,114,1
684,Data Analyst,EN,149,11
685,Head of AI,SE,192,2
686,NLP Engineer,EX,46,13
687,Head of AI,SE,206,2
688,Machine Learning Researcher,EN,218,16
689,Head of AI,MI,66,10
690,Data Analyst,SE,102,9
691,NLP Engineer,MI,140,15
692,Principal Data Scientist,EX,39,19
693,AI Consultant,EX,70,15
694,AI Architect,SE,74,7
695,AI Software Engineer,SE,203,4
696,Machine Learning Researcher,EN,29,20
697,ML Ops Engineer,EX,116,3
698,NLP Engineer,MI,107,1
699,AI Architect,SE,190,16
700,Autonomous Systems Engineer,MI,68,4
701,ML Ops Engineer,EN,185,6
702,Research Scientist,MI,202,18
703,AI Architect,MI,6,16
704,Data Engineer,EN,210,10
705,Machine Learning Researcher,EN,43,17
706,NLP Engineer,EN,207,7
707,AI Specialist,EX,120,19
708,Head of AI,EX,165,19
709,AI Product Manager,EX,153,12
710,Research Scientist,MI,164,7
711,Research Scientist,EX,201,9
712,ML Ops Engineer,MI,93,10
713,AI Research Scientist,EN,32,3
714,NLP Engineer,MI,124,2
715,NLP Engineer,SE,133,4
716,AI Specialist,EX,32,17
717,Data Analyst,MI,79,14
718,ML Ops Engineer,MI,91,19
719,Data Analyst,SE,87,10
720,AI Consultant,EX,181,6
721,Machine Learning Researcher,EX,35,11
722,Machine Learning Engineer,MI,145,12
723,Machine Learning Engineer,MI,168,8
724,Robotics Engineer,SE,160,18
725,Head of AI,SE,240,17
726,Computer Vision Engineer,SE,32,17
727,Computer Vision Engineer,SE,118,16
728,Data Scientist,EX,79,16
729,Data Analyst,EN,54,1
730,AI Consultant,EN,156,16
731,Computer Vision Engineer,EN,149,7
732,Data Analyst,EN,216,4
733,AI Consultant,EX,57,19
734,Robotics Engineer,SE,136,5
735,AI Software Engineer,EX,174,17
736,AI Specialist,EX,35,4
737,NLP Engineer,SE,19,3
738,Data Scientist,EN,183,20
739,Principal Data Scientist,EN,141,9
740,Robotics Engineer,MI,55,17
741,AI Research Scientist,EX,161,2
742,Research Scientist,EX,52,8
743,ML Ops Engineer,EN,53,18
744,Machine Learning Researcher,SE,230,7
745,Robotics Engineer,SE,136,9
746,Autonomous Systems Engineer,EN,162,12
747,AI Consultant,MI,46,14
748,AI Research Scientist,EX,179,8
749,Deep Learning Engineer,MI,117,12
750,Machine Learning Researcher,EX,108,16
751,Data Engineer,EN,9,13
752,Head of AI,MI,64,2
753,Head of AI,EN,16,6
754,Head of AI,EX,60,4
755,AI Product Manager,SE,100,18
756,Machine Learning Engineer,MI,122,7
757,Principal Data Scientist,EX,239,14
758,AI Research Scientist,EN,22,11
759,Autonomous Systems Engineer,EN,212,2
760,Data Engineer,SE,192,20
761,Principal Data Scientist,SE,223,20
762,Robotics Engineer,EN,239,19
763,AI Architect,MI,201,6
764,Machine Learning Researcher,EN,153,14
765,AI Research Scientist,SE,129,9
766,AI Consultant,EX,211,10
767,Research Scientist,EX,175,17
768,Data Analyst,EX,93,6
769,NLP Engineer,SE,175,8
770,Deep Learning Engineer,SE,20,5
771,AI Consultant,EX,236,3
772,Machine Learning Researcher,MI,14,5
773,Machine Learning Engineer,SE,97,6
774,AI Specialist,EX,139,4
775,Computer Vision Engineer,MI,126,12
776,Data Scientist,MI,103,20
777,Data Analyst,EN,121,8
778,Deep Learning Engineer,EX,31,16
779,Computer Vision Engineer,EN,66,7
780,Machine Learning Engineer,EN,165,16
781,Principal Data Scientist,EX,156,8
782,Head of AI,SE,44,17
783,Data Engineer,EX,206,20
784,AI Software Engineer,MI,68,18
785,AI Specialist,SE,53,1
786,Data Engineer,SE,136,8
787,Data Scientist,MI,104,8
788,Autonomous Systems Engineer,MI,77,16
789,Data Analyst,SE,230,13
790,AI Research Scientist,EN,49,20
