idEmpresa,nmEmpresa,setorIndustria
215,Smart Analytics,Finance
208,Quantum Computing Inc,Technology
87,Cognitive Computing,Retail
126,Digital Transformation LLC,Gaming
120,DeepTech Ventures,Transportation
139,Future Systems,Energy
141,Future Systems,Gaming
135,Digital Transformation LLC,Transportation
65,Cloud AI Solutions,Finance
21,Advanced Robotics,Gaming
129,Digital Transformation LLC,Manufacturing
110,DeepTech Ventures,Finance
177,Neural Networks Co,Retail
22,Advanced Robotics,Government
128,Digital Transformation LLC,Healthcare
72,Cloud AI Solutions,Retail
82,Cognitive Computing,Government
63,Cloud AI Solutions,Education
184,Predictive Systems,Energy
142,Future Systems,Government
216,Smart Analytics,Gaming
200,Quantum Computing Inc,Finance
166,Neural Networks Co,Automotive
9,AI Innovations,Manufacturing
136,Future Systems,Automotive
171,Neural Networks Co,Gaming
230,TechCorp Inc,Finance
94,DataVision Ltd,Energy
195,Predictive Systems,Transportation
26,Advanced Robotics,Real Estate
62,Cloud AI Solutions,Consulting
237,TechCorp Inc,Retail
146,Future Systems,Real Estate
221,Smart Analytics,Real Estate
233,TechCorp Inc,Healthcare
47,Autonomous Tech,Consulting
186,Predictive Systems,Gaming
19,Advanced Robotics,Energy
38,Algorithmic Solutions,Healthcare
168,Neural Networks Co,Education
123,Digital Transformation LLC,Education
218,Smart Analytics,Healthcare
132,Digital Transformation LLC,Retail
190,Predictive Systems,Media
49,Autonomous Tech,Energy
70,Cloud AI Solutions,Media
163,Machine Intelligence Group,Technology
138,Future Systems,Education
197,Quantum Computing Inc,Consulting
111,DeepTech Ventures,Gaming
23,Advanced Robotics,Healthcare
3,AI Innovations,Education
61,Cloud AI Solutions,Automotive
114,DeepTech Ventures,Manufacturing
99,DataVision Ltd,Manufacturing
119,DeepTech Ventures,Telecommunications
89,Cognitive Computing,Telecommunications
53,Autonomous Tech,Healthcare
69,Cloud AI Solutions,Manufacturing
176,Neural Networks Co,Real Estate
4,AI Innovations,Energy
116,DeepTech Ventures,Real Estate
206,Quantum Computing Inc,Real Estate
106,DeepTech Ventures,Automotive
16,Advanced Robotics,Automotive
33,Algorithmic Solutions,Education
117,DeepTech Ventures,Retail
102,DataVision Ltd,Retail
80,Cognitive Computing,Finance
210,Quantum Computing Inc,Transportation
150,Future Systems,Transportation
34,Algorithmic Solutions,Energy
238,TechCorp Inc,Technology
32,Algorithmic Solutions,Consulting
121,Digital Transformation LLC,Automotive
194,Predictive Systems,Telecommunications
207,Quantum Computing Inc,Retail
214,Smart Analytics,Energy
158,Machine Intelligence Group,Healthcare
29,Advanced Robotics,Telecommunications
93,DataVision Ltd,Education
124,Digital Transformation LLC,Energy
133,Digital Transformation LLC,Technology
179,Neural Networks Co,Telecommunications
100,DataVision Ltd,Media
236,TechCorp Inc,Real Estate
154,Machine Intelligence Group,Energy
5,AI Innovations,Finance
189,Predictive Systems,Manufacturing
101,DataVision Ltd,Real Estate
198,Quantum Computing Inc,Education
24,Advanced Robotics,Manufacturing
